Type,Addr,Register Description
U16,1153,Discrete Output 2 Assignment (refer to discrete output assign. Codes)
U16,1154,"Discrete Output 2 Polarity (0 = active low, 1 = active high)"
U16,1155,Discrete Output 3 Assignment (refer to discrete output assign. Codes)
U16,1156,"Discrete Output 3 Polarity (0 = active low, 1 = active high)"
U16,1157,Discrete Output 4 Assignment (refer to discrete output assign. Codes)
U16,1158,"Discrete Output 4 Polarity (0 = active low, 1 = active high)"
F32,1159,Flow Rate Switch Set-point 
U16,1161,Flow Rate Switch Process Variable (see Freq. Output Assignment Codes)
U16,1162,Device Type Code for attached Core
U16,1163,Board Revision
U16,1164,100 Hz Update Rate Variable Assignment
U16,1165,Burst Command (refer to burst command options table) Moved to 2559 for HART 7.
U16,1166,Output Channel A Type Assignment (refer to output type codes) 
U16,1167,Output Channel B Type Assignment (refer to output type codes) 
U16,1168,Output Channel C Type Assignment (refer to output type codes)
U16,1169,Burst Variable 1 (refer to process variable codes)
U16,1170,Burst Variable 2 (refer to process variable codes)
U16,1171,Burst Variable 3 (refer to process variable codes)
U16,1172,Burst Variable 4 (refer to process variable codes)
U16,1173,Channel A Power (refer to power source codes)
U16,1174,Channel B Power (refer to power source codes) 
U16,1175,Channel C Power (refer to power source codes) 
U16,1176,Discrete Input 1 Assignment (refer to Discrete Input assignment codes)
U16,1177,Discrete Input 2 Assignment (refer to Discrete Input assignment codes)
U16,1178,"Discrete Input 1 Polarity (0 = active low, 1 = active high)"
U16,1179,"Discrete Input 2 Polarity (0 = active low, 1 = active high)"
U16,1180,"Milliamp Input Source (can be 53=pressure, 55=temperature or 251=none)  Gen5 see Integer Codes Table"
U16,1181,Frequency Output Mode (refer to FO mode codes)
U16,1182,Discrete Output 1 Fixed Value (refer to Discrete Output state codes)
U16,1183,Discrete Output 2 Fixed Value (refer to Discrete Output state codes)
U16,1184,Discrete Output 3 Fixed Value (refer to Discrete Output state codes)
U16,1185,Discrete Output 4 Fixed Value (refer to Discrete Output state codes)
U16,1186,Profibus Station Address (0 – 126) 
U24,1187,Attached Core HART device I.D. number
F32,1189,Primary mA Output 4 mA Trim Constant
F32,1191,Primary mA Output 20 mA Trim Constant
F32,1193,Secondary mA Output 4 mA Trim Constant
F32,1195,Secondary mA Output 20 mA Trim Constant
U16,1197,"Frequency Output Polarity (0 = active low, 1 = active high)"
U16,1198,Frequency Output Power (refer to power source codes)
U16,1199,Display test on/off duration (1-60 seconds)
U16,1200,Transmitter Software Version Number (xxx.xx format – 612 means rev 6.12)
U32,1201,Number of requests sent to Core Processor since power-on
U32,1203,Number of good responses received from Core Processor since power-on
U32,1203,Number of Out-Of-Lock Periods
U32,1205,Number of response timeouts with Core Processor since power-on
U32,1207,Number of Core Processor responses with CRC error since power-on
U32,1209,Number of Core Processor responses with omm.. Errors since power-on
U32,1211,Number of spurious characters received from Core Processor since power-on
U32,1213,Last four spurious characters received from Core Processor since power-on
U32,1213,Number of A26 (Core Processor Connects)
U16,1215,Real-time clock: seconds (0-59) [5700 RO]
U16,1216,Real-time clock: minutes (0-59) [5700 RO]
U16,1217,Real-time clock: hours (0-23) [5700 RO]
U16,1218,Real-time clock: day (1-31) [5700 RO]
U16,1219,Real-time clock: month (1-12) [5700 RO]
U16,1220,Real-time clock: year (1996-2095 for 3500) (1970-2099 for 5700) [5700 RO]
U16,1221,Frequency Input flow units (see table at back)
U16,1222,Frequency Input Scaling Method (see mass flow and volume flow unit codes)
F32,1223,Frequency Input frequency set-point (Hz) or number of pulses 
F32,1225,Frequency Input flow rate or total
F32,1227,Frequency Input K-factor
U16,1229,Frequency Input measured frequency
F32,1231,Frequency Input measured flow rate
F32,1233,Frequency Input measured total
F32,1235,Frequency Input measured inventory
U16,1237,"Alarm Index (1=A1,…, 39=A39, 40=A100, …, 70=A130,88=A148)"
U16,1238,"Alarmn Severity (0=Ignore, 1=Info-only, 2=Fault) [Array in Neptune]"
U16,1239,Alarmn Status (write 0 to acknowledge alarm) [2D Array in Neptune]
U16,1240,Alarmn Count (inactive to active transitions) [2D Array in Neptune]
U32,1241,"Alarmn Last Posted (seconds since January 1, 1996) [2D Array in Neptune]"
U32,1243,"Alarmn Last Cleared (seconds since January 1, 1996) [2D Array in Neptune]"
U16,1245,Alarm Type Index
U16,1246,Alarmn Type Status (write 0 to acknowledge alarm type)
U32,1247,"Alarmn Type Last Posted (seconds since January 1, 1996)"
U32,1249,"Alarmn Type Last Cleared (seconds since January 1, 1996)"
U16,1251,Discrete Batch flow source (see batch flow source codes)
U16,1252,Discrete Batch current preset number (0-5)
U16,1253,Discrete Batch number of stages (1 or 2)
U16,1254,Discrete Batch number of decimals for display
U16,1255,"Discrete Batch configure presets by (0=% target, 1=quantity)"
U16,1256,Discrete Batch state (see Discrete Batch State Codes)
F32,1257,Discrete Batch no flow time-out (in seconds)
F32,1259,Discrete Batch alarm timeout (in minutes)
F32,1261,Discrete Batch maximum target
U16,1263,"Discrete Batch preset configuration index (x=0,1,2,3,4,5)"
U16,1264,"Discrete Batch preset x enable (0=Disable, 1=Enable)"
A22,1265,Discrete Batch preset x name
U16,1276,Discrete Batch preset x density curve
F32,1277,Discrete Batch preset x open primary
F32,1279,Discrete Batch preset x open secondary
F32,1281,Discrete Batch preset x close primary
F32,1283,Discrete Batch preset x end warning
F32,1285,Discrete Batch preset x target
F32,1287,Discrete Batch preset x overrun
F32,1289,Discrete Batch current target
F32,1291,Discrete Batch current total
F32,1293,Discrete Batch preset 1 inventory
F32,1295,Discrete Batch preset 2 inventory
F32,1297,Discrete Batch preset 3 inventory
F32,1299,Discrete Batch preset 4 inventory
F32,1301,Discrete Batch preset 5 inventory
F32,1303,Discrete Batch preset 6 inventory
F32,1305,Maximum Batch Time (in seconds)
F32,1307,Discrete Batcher: Target Time
U16,1309,"AOC Compensation Mode ( 0=Compensation Off, 1=Fixed Value, 2=AOC Algorithm)"
U16,1309,"AOC Compensation Algorithm  (Upward=0, Downward=1, Fixed=2)"
U16,1310,AOC Learning Cycles
F32,1311,Purge Cycle Delay (in seconds)
F32,1313,Purge Cycle Time (in seconds)
U16,1315,Start Sensor Zero
U16,1316,Reset Mass Total   (G5: Config Total #1)
U16,1317,Reset Volume Total   (G5: Config Total #2)
U16,1318,Reset API Reference (Standard) Volume Total   (G5: Config Total #3)
U16,1319,Reset Enhanced Density Reference  Volume Total   (G5: Config Total #5)
U16,1320,Reset Enhanced Density Net Mass Total  (G5: Config Total #6)
U16,1321,Reset Enhanced Density Net Volume Total (G5: Config Total #7)
U16,1322,Reset All Totals
U16,1323,Start/Stop All Totals
U16,1324,End discrete batch
U16,1325,Inhibit discrete batch
U16,1326,Inhibit discrete batch totalizer
U16,1327,Reset discrete batch
U16,1328,Resume discrete batch
U16,1329,Start discrete batch
U16,1330,Stop discrete batch
U16,1331,Increment Current Batch Preset
U16,1332,Increment Current ED Curve
U16,1333,Print Screen
U16,1334,Print W&M Transfer Screen
U16,1335,Reset Gas Standard Volume Total  (G5: Config Total #4)
U16,1336,Reset 2nd All Totals
U16,1337,Reset 2nd Mass Total
U16,1338,Reset 2nd Volume Total
U16,1339,Reset 2nd Gas Standard Volume Total
U16,1340,Inhibit discrete batch flow
U16,1341,Start background meter verification
U16,1342,Integrity Detection
U16,1343,Start/Stop 2nd All Totals
U16,1344,Modbus Double Precision Floating Point Byte Order
U32,1345,Batch BOL Number
U16,1347,PPI Alarm Password 1 (see password codes table)
U16,1348,PPI Alarm Password 2 (see password codes table)
U16,1349,PPI Alarm Password 3 (see password codes table)
U16,1350,PPI Alarm Password 4 (see password codes table)
U16,1351,PPI Maintenance Password 1 (see password codes table)
U16,1352,PPI Maintenance Password 2 (see password codes table)
U16,1353,PPI Maintenance Password 3 (see password codes table)
U16,1354,PPI Maintenance Password 4 (see password codes table)
U16,1355,PPI Configuration Password 1 (see password codes table)
U16,1356,PPI Configuration Password 2 (see password codes table)
U16,1357,PPI Configuration Password 3 (see password codes table)
U16,1358,PPI Configuration Password 4 (see password codes table)
U16,1359,Display language selection (see language codes table)
U16,1360,Bit #0 – PPI F1 Button
U16,1361,PPI Temperature (degrees C)
U16,1362,Display Process Variable #16 (see process variable codes in back)
U16,1363,Display Process Variable #17 (see process variable codes in back)
U16,1364,Display Process Variable #18 (see process variable codes in back)
U16,1365,Display Process Variable #19 (see process variable codes in back)
U16,1366,Display Process Variable #20 (see process variable codes in back)
U16,1367,"Process Variable Code (n = 0…94) (see Process Variable Codes table)  For Gen5, n = 0…251"
U16,1368,Process Variablen – number of digits displayed to right of decimal point (0 to 5)
U16,1369,"Process Variablen – custody transfer approved (0=NO, 1=YES)"
U16,1370,Reset Batch Security
A22,1371,Header Line 1 Text
U16,1382,Header Line 1 Line Feeds
U16,1383,"Header Line 1 Font Size (0=Normal height, 1 = Double height)"
A22,1384,Header Line 2 Text
U16,1395,Header Line 2 Line Feeds
U16,1396,"Header Line 2 Font Size (0=Normal height, 1 = Double height)"
A22,1397,Header Line 3 Text
U16,1408,Header Line 3 Line Feeds
U16,1409,"Header Line 3 Font Size (0=Normal height, 1 = Double height)"
A22,1410,Header Line 4 Text
U16,1421,Header Line 4 Line Feeds
U16,1422,"Header Line 4 Font Size (0=Normal height, 1 = Double height)"
A22,1423,Footer Text
U16,1434,Footer Line Feeds
U16,1435,"Footer Font Size (0=Normal height, 1 = Double height)"
U16,1436,Lines Per Page
U16,1437,Number of Tickets
U16,1438,Number of Data Bits
U32,1439,Start Number (BOL)
U16,1441,Printer type (see printer codes table)
U16,1442,DI Print Request Configuration (see print screen table)
U16,1443,W&M DI Action (see W&M DI action codes)
U16,1444,Disable Paper Out Detection (0=enable Paper check; 1=disable Paper check)
U16,1445,Printer Characters Per Second
U16,1446,Printer Buffer Size
F32,1447,Frequency Output Negative Rate Threshold
F32,1449,Frequency Output Positive Rate Threshold
F32,1451,Frequency Output Averaging Window Size (0-7 samples)
F32,1453,Frequency Input Pulses per Unit
F32,1455,Frequency Input Units per Pulse
F32,1457,Batch AOC Average
F32,1457,Batch AOC Average
F32,1459,Batch Time (in seconds)
U16,1461,Batch Count
U16,1462,"Discrete Output Initial State (0 = 0 V, 1 = 24 V)"
F32,1463,Average Density (Forest Service CEQ only)
U16,1465,Discrete Batcher: Averaging Samples for Timed Fill
U16,1466,W&M Software Version
U16,1467,W&M Print Condition (see W&M print condition codes)
U16,1468,W&M Number of Transfer Tickets (1 to 3)
U16,1469,W&M Transfer Total Display Format (see transfer total format codes)
U16,1470,"World Area for W&M Security (0=NTEP, 1=OIML, 2=CMC [Neptune only])"
U16,1471,Audit Trail Event Counter
U16,1472,Audit Trail Index Value for next stored change
U16,1473,Audit Trail Index Register (n=0..999)
U16,1474,Audit Trail Recordn Event Counter
U32,1475,"Audit Trail Recordn Time Stamp (Seconds since January 1, 1996)"
U16,1477,"Audit Trail Recordn Register Number (0xxxx for coil, 4xxxx for register)"
U16,1478,Audit Trail Recordn Register Array Index (valid only if item is an array)
U16,1479,Audit Trail Recordn Item Units (valid only if item normally has associated units)
U16,1488,Bootloader revision (x.xx format)
A32,1489,"Fieldbus Tag (Fieldbus Devices), HART Long Tag (HART devices),"
U16,1505,Fieldbus/ Profibus PA AI Function Block Index (0 – 3)
U16,1506,Fieldbus  / Profibus PA AI Target Mode
U16,1507,Fieldbus / Profibus PA AI Actual Mode
U16,1508,Fieldbus / Profibus  AI Channel
U16,1509,Fieldbus / Profibus PA AI XD Scale Units (valid units associated with channel selection)
U16,1510,Fieldbus / Profibus PA AI L Type (Only 1=Direct can be written)
U16,1511,Fieldbus / Profibus PA Integrator Block Type
U16,1512,Fieldbus Alert Timeout
U32,1513,W&M BOL Start Number
U16,1515,Transmitter NVM Primary Configuration Copy Bad on Power-up Count (Set to 0 on master reset)
U16,1516,Transmitter NVM Backup Configuration Copy Bad on Power-up Count (Set to 0 on master reset)
U32,1517,Transmitter Firmware Checksum
U16,1519,DeviceNet Daughterboard Software Version
U16,1512,Profibus-PA AI1 Channel (see Profibus-PA AI Channel codes)
U16,1513,Profibus-PA AI1 Units (see Profibus-PA AI Unit code tables)
U16,1514,Profibus-PA AI2 Channel (see Profibus-PA AI Channel codes)
U16,1515,Profibus-PA AI2 Units (see Profibus-PA AI Unit code tables)
U16,1516,Profibus-PA AI3 Channel (see Profibus-PA AI Channel codes)
U16,1517,Profibus-PA AI3 Units (see Profibus-PA AI Unit code tables)
U16,1518,Profibus-PA AI4 Channel (see Profibus-PA AI Channel codes)
U16,1519,Profibus-PA AI4 Units (see Profibus-PA AI Unit code tables)
U16,1520,"Process Monitor Format (0=No Stats, 1=With Stats)"
A16,1521,Printer Pre-Header Control Character String (16 characters)
A16,1529,Printer Post-Footer Control Character String (16 characters)
F32,1537,Actual Back Flow Rate (uncorrected)
F32,1539,Actual Density (Unremediated Density for PVR and TBR for 2700 and 800)
F32,1541,Actual Drive Gain
F32,1543,Actual Gross Flow Rate
F32,1545,Actual Mass Flow Rate
F32,1547,Actual Net Oil Flow Rate
F32,1549,Actual Net Water Flow Rate
F32,1551,Actual Temperature
F32,1553,Actual Uncorrected Oil Flow Rate
F32,1555,Actual Uncorrected Water Cut
F32,1557,Actual Net Water Cut
F32,1559,Actual Uncorrected Gross Flow (same as 253/254)
F32,1561,Actual Uncorrected Water Flow
F32,1563,Actual Gas Volume Flow Rate (Gas Meter)
F32,1565,Density for Manual Oil Density Determination (ETO21541)
F32,1567,Temperature for Manual Oil Density Determination (ETO21541)
F32,1567,Average Back Flow Rate (obsolete in v7.10)
F32,1569,Average Density
F32,1571,Average Drive Gain
F32,1573,Average Gross Flow Rate
F32,1575,Average Mass Flow Rate
F32,1577,Average Net Oil Flow Rate
F32,1579,Average Net Water Flow Rate
F32,1581,Average Temperature
F32,1583,Average Uncorrected Oil Flow Rate
F32,1585,Average Uncorrected Water Cut
F32,1587,Average Water Cut
F32,1589,Average Uncorrected Gross Flow Rate
F32,1591,Average Uncorrected Water Flow Rate
F32,1593,Average Gas Volume Flow Rate (Gas Meter)
F32,1597,Maximum Back Flow Rate (uncorrected)
F32,1599,Maximum Density
F32,1601,Maximum Drive Gain
F32,1603,Maximum Gross Flow Rate
F32,1605,Maximum Mass Flow Rate
F32,1607,Maximum Net Oil Flow Rate
F32,1609,Maximum Net Water Flow Rate
F32,1611,Maximum Temperature
F32,1613,Maximum Uncorrected Oil Flow Rate
F32,1615,Maximum Uncorrected Water Cut
F32,1617,Maximum Water Cut
F32,1619,Maximum Uncorrected Gross Flow Rate
F32,1621,Maximum Uncorrected Water Flow Rate
F32,1623,Maximum Gas Volume Flow Rate (Gas Meter)
F32,1627,Minimum Back Flow Rate (uncorrected)
F32,1629,Minimum Density
F32,1631,Minimum Drive Gain
F32,1633,Minimum Gross Flow Rate
F32,1635,Minimum Mass Flow Rate
F32,1637,Minimum Net Oil Flow Rate
F32,1639,Minimum Net Water Flow Rate
F32,1641,Minimum Temperature
F32,1643,Minimum Uncorrected Oil Flow Rate
F32,1645,Minimum Uncorrected Water Cut
F32,1647,Minimum Water Cut
F32,1649,Minimum Uncorrected Gross Flow Rate
F32,1651,Minimum Uncorrected Water Flow Rate
F32,1653,Minimum Gas Volume Flow Rate (Gas Meter)
F32,1655,Corrected (Assuming 100% Oil) Density @ RefTemp  (Fixed SGU for 2700 v8.0 and later)
F32,1657,Gross Volume Total
F32,1659,Mass Total
F32,1661,Net Oil Volume Total   [ Gen5 Snapshot (Inv) ]
F32,1663,Net Water Volume Total   [ Gen5 Snapshot (Inv) ]
F32,1665,Uncorrected Oil Volume Total   [ Gen5 Snapshot (Inv) ]
F32,1667,Uncorrected Water Volume Total   [ Gen5 Snapshot (Inv) ]
F32,1669,Back Flow Volume Total (uncorrected)
F32,1671,Uncorrected Gross Volume Total
F32,1673,Gas Volume Total (Gas Meter)
F32,1675,Density of Oil at Reference Temperature
F32,1677,Maximum Deviation of Oil Density During Density Determination
F32,1679,Density of Water at Reference Conditions
F32,1681,Maximum Deviation of Water Density During Density Determination
F32,1683,"Drive Gain Threshold for TBR (volts in v5.x, percent in v7.1 and later)"
F32,1685,External Water Cut Input (%)
F32,1687,Shrinkage Factor for Water
F32,1689,Shrinkage Factor for Oil
U16,1691,Oil density averaging time for Density Determination (seconds)
U16,1692,Produced Water Density averaging time for Density Determination (seconds)
U16,1693,Purge Time for separator (minutes) (well test mode only)
U16,1694,Look-back Time Interval for TBR (5-30 seconds)
F32,1695,Oil Density Pressure Coefficient
F32,1697,Reference Pressure
F32,1699,Gas Reference Density (Gas Meter)
U16,1701,"Well to be Configured (0 for continuous mode, 1-48 for well test mode)"
U16,1702,"Well that is Being Tested (0 for continuous mode, 1-48 for well test mode)"
U16,1703,"Test Results (0=well under test, 1=last test, 2=next-to-last test, 3=oldest test, 4=saved recalculation data, 5=recalculation results)"
U16,1704,"Well Within Archive for Test Results (0 for continuous mode, 1-48 for well test mode)"
U16,1705,"Reference Temperature (0=60 degF, 1=15 degC, 2=20 degC)"
U16,1706,"Action taken on TBR event (0=hold last value, 1=stop well test, 2=alarm only)"
U32,1707,Well Test Start Time and Date
U32,1709,Well Test Transient Bubble Time (seconds)
U32,1711,Well Test Elapsed Time (seconds)
U32,1713,Production Measurement Paused Time in seconds
U32,1715,Well Test Purge Time Remaining (seconds)
U16,1717,Gas Volume Flow Units (Gas Meter)
U16,1718,Gas Volume Total Units (Gas Meter)
U16,1719,NOC State
U16,1720,NOC Mode/State
F32,1721,External Water Cut Alarm Limit (%)
U32,1723,Well Test External Water Cut Overrange Time (seconds)
U32,1725,Time and Date of Last Reset All
U32,1727,Time and Date Last Well Test Was Started
U32,1729,Time and Date Last Well Test Was Started
F32,1731,NOC External Water Cut Minimum Threshold
U32,1733,Shrinkage Factored Uncorrected Net Flow Oil @ Line
U32,1735,Shrinkage Factored Corrected Net Flow Oil @ RefTemp
U32,1737,"Shrinkage Factored Volume Flow, Mixture @ RefTemp"
U32,1739,deg API Corrected (Assuming 100% Oil) Density Mix @ RefTemp
U32,1741,Time and Date Maximum Back Flow Was Achieved
U32,1743,Time and Date Maximum Density Was Achieved
U32,1745,Time and Date Maximum Drive Gain Was Achieved
U32,1747,Time and Date Maximum Gross Flow Rate Was Achieved
U32,1749,Time and Date Maximum Mass Flow Rate Was Achieved
U32,1751,Time and Date Maximum Net Oil Flow Rate Was Achieved
U32,1753,Time and Date Maximum Net Water Flow Rate Was Achieved
U32,1755,Time and Date Maximum Temperature Was Achieved
U32,1757,Time and Date Maximum Uncorrected Oil Flow Was Achieved
U32,1759,Time and Date Maximum Uncorrected Water Cut Was Achieved
U32,1761,Time and Date Maximum Water Cut Was Achieved
U32,1763,Time and Date Maximum Uncorrected Gross Flow Rate Was Achieved
U32,1765,Time and Date Maximum Uncorrected Water Flow Rate Was Achieved
U32,1767,Time and Date Maximum Gas Volume Flow Rate Was Achieved (Gas Meter)
U32,1773,Time and Date Minimum Density Was Achieved
U32,1775,Time and Date Minimum Drive Gain Was Achieved
U32,1777,Time and Date Minimum Gross Flow Rate Was Achieved
U32,1779,Time and Date Minimum Mass Flow Rate Was Achieved
U32,1781,Time and Date Minimum Net Oil Flow Rate Was Achieved
U32,1783,Time and Date Minimum Net Water Flow Rate Was Achieved
U32,1785,Time and Date Minimum Temperature Was Achieved
U32,1787,Time and Date Minimum Uncorrected Oil Flow Was Achieved
U32,1789,Time and Date Minimum Uncorrected Water Cut Was Achieved
U32,1791,Time and Date Minimum Water Cut Was Achieved
U32,1793,Time and Date Minimum Uncorrected Gross Flow Rate Was Achieved
U32,1795,Time and Date Minimum Uncorrected Water Flow Rate Was Achieved
U32,1797,Time and Date Minimum Gas Volume Flow Rate Was Achieved (Gas Meter)
F32,1799,Liquid Mass Flow (APM PG only)
U32,1801,Time and Date Back Flow Was Reset
U32,1803,Time and Date Density Was Reset
U32,1805,Time and Date Drive Gain Was Reset
U32,1807,Time and Date Gross Flow Was Reset
U32,1809,Time and Date Mass Flow Was Reset
U32,1811,Time and Date Net Oil Flow Was Reset
U32,1813,Time and Date Net Water Flow Was Reset
U32,1815,Time and Date Temperature Was Reset
U32,1817,Time and Date Uncorrected Oil Flow Rate Was Reset
U32,1819,Time and Date Uncorrected Water Cut Was Reset
U32,1821,Time and Date Water Cut Was Reset
U32,1823,Time and Date Uncorrected Gross Flow Rate Was Reset
U32,1825,Time and Date Uncorrected Water Flow Rate Was Reset
U32,1827,Time and Date Gas Volume Flow Rate Was Reset (Gas Meter)
U16,1829,Density Determination Update Progress
U16,1830,"Well Number for Density Determination (0 for continuous mode, 1-48 for well test mode)"
F32,1831,Density Determination Manually Entered Water Density
F32,1833,Density Determination Manually Entered Water Temperature
F32,1835,Water Cut Percentage of Oil Sample
U32,1837,Time stamp When Oil/Water Density Determination Averaging Performed
F32,1839,Density Determination Calculated Water Density at Reference Temperature
U32,1841,Time Stamp of Calculated Water Density at Reference (1839/1840)
F32,1843,Density Determination Water Density at Reference Temperature
U32,1845,Time stamp for Water Density at Reference Temperature (1843/1844)
F32,1847,Current Water Density at Reference (same as 1679)
U32,1849,Time stamp for Current Water Density at Reference
F32,1851,Current Oil Density at Reference (same as 1675)
U32,1853,Time stamp for Current Oil Density at Reference
F32,1855,Density Determination Calculated Oil Density at Reference Temperature
U32,1857,Time stamp of Oil Density Sample for Water Cut Measurement
F32,1859,Density Determination Volume Total
F32,1861,Density Determination Average Density
F32,1863,Density Determination Average Temperature
F32,1865,Density Determination Measured Water Cut
F32,1867,Density Determination Measured Reference Pressure
U32,1869,Time stamp of Reference Pressure
F32,1871,Drive Gain Threshold for TMR (percent)
U16,1873,Undefined
U16,1874,HART Polling Control Code #3 (see polling control code table)
A8,1875,HART Polling Tag #3
F32,1879,TMR Mass Flow Rate (from gas meter)
F32,1881,TMR Net Oil Carry-Over Volume Total
F32,1883,TMR Net Water Carry-Over Volume Total
F32,1885,TMR Mass Carry-Over Total
F32,1887,TMR Uncorrected Oil Carry-Over Volume Total
F32,1889,TMR Uncorrected Water Carry-Over Volume Total
F32,1891,TMR Drive Gain (from gas meter)
F32,1893,TMR Average Drive Gain (from gas meter)
F32,1895,TMR Minimum Drive Gain (from gas meter)
F32,1897,TMR Maximum Drive Gain (from gas meter)
U32,1899,TMR Minimum Drive Gain Timestamp
U32,1901,TMR Maximum Drive Gain Timestamp
U32,1903,TMR Timer (seconds)
F32,1905,TMR pre-event averaging period (seconds)
F32,1907,TMR post-event averaging period (seconds)
F32,1909,TMR Flow Rate Factor
F32,1911,TMR Gas Flow Correction Total
F32,1913,Wet gas reference %liquid mass  - user input (ETO 30184)
F32,1915,Density associated with Liquid % of Mass Flow - user input (ETO 30184)
F32,1917,Density used to convert Liquid Mass Flow (reg 1799) to
F32,1919,Liquid flow rate during test - user input (ETO 30184)
F32,1921,Temperature at meter during test - user input (ETO 30184)
F32,1923,Pressure at meter during test - user input (ETO 30184)
U16,1925,"Well Number for Data Recalculation (0 for continuous mode, 1-48 for well test mode)"
U16,1926,"Well Data Set for Recalculation (1=last test, 2=next-to-last test, 3=oldest test)"
U16,1927,Recalculation Reference Temperature
F32,1929,Recalculation oil density at reference conditions
F32,1931,Recalculation water density at reference conditions
F32,1933,Recalculation reference pressure
F32,1935,Recalculation pressure coefficient for oil density
F32,1937,Recalculation gas reference density
F32,1939,Recalculation shrinkage factor for oil
F32,1941,Recalculation shrinkage factor for water
F32,1943,Original reference temperature
F32,1945,Original oil density at reference conditions
F32,1947,Original water density at reference conditions
F32,1949,Original reference pressure
F32,1951,Original pressure coefficient for oil density
F32,1953,Original gas reference density
F32,1955,Original shrinkage factor for oil
F32,1957,Original shrinkage factor for water
F32,1959,Manual Oil Density for Density Determination (ETO21541)   Gen5:Standard
F32,1961,Manual Oil Temperature for Density Determination (ETO21541)
F32,1963,TMR Remediated Mass Flow Rate
F32,1965,TMR Remediated Mass Total
F32,1967,TMR Remediated Mass Inventory
F32,1969,Maximum % Liquid - user input (ETO 30184)
F32,1971,Observed Maximum Deviation (NOC Density Determination)
F32,1973,Manual Water Density for NOC
F32,1975,Stable RPO Voltage Threshold (default=0.2993) (ETO 29496)
F32,1979,Unstable RPO Voltage Threshold (default=0.16) (ETO 29496)
F32,1983,Delta Temp Threshold (default=2 degC) (ETO 29496)
F32,1987,Delta Density Threshold (default=0 g/cc) (ETO 29496)
U16,1989,Index for Coefficient Array (0 - 14) (ETO 29496)
F32,1990,Array of the 15 Coefficients (ETO 29496)
F32,1992,Low Pressure Reference Value (range 0 to 120 bar) (ETO 29496)
F32,1994,High Pressure Reference Value (range 0 to 120 bar) (ETO 29496)
F32,1998,Temperature at Standard Conditions  (ETO 29496)
F32,2000,Pressure at Standard Conditions  (ETO 29496)
F32,2004,Dry Gas Mass Fraction at Operating Conditions  (ETO 29496)
F32,2008,Dry Gas Mass Flow Rate  (ETO 29496)
F32,2013,Density for MicroLoad support (ETO23317 and ETO23182)
F32,2255,Gas Liquid Ratio - Standard Conditions (ETO 29496)
F32,2257,Net Oil Mass Flow Rate @ Ref (ETO 29496)
F32,2259,Net Water Mass Flow Rate (ETO 30184)
F32,2261,Liquid Volume Flow Rate (ETO 30184)  
F32,2263,Gas to Oil Ratio (ETO 30184)
F32,2265,Unremediated Volume Flow of Mix @ Line (no TBR)
U32,2267,TBR Cumulative Time (Seconds)
U16,2269,Processor restart.Similar to processor restart in FF.The default value = 0 . Processor restart if value = 4.The value shall immidiately change to 1 after writing.
U16,2274,Ident No. selector
U16,2275,AO OUT Channel
U16,2276,Temp. / Pressure compensation selector
A16,2277,Profibus I&M iDevice installation Date
U16,2286,Fieldbus TOT Function Block Index (0 – 3)
U16,2287,Fieldbus TOT Target Mode
U16,2288,Fieldbus TOT Actual Mode
U16,2289,Fieldbus TOT Channel
U16,2290,Fieldbus TOT Units (valid units associated with channel selection)
U16,2291,Fieldbus TOT Selection
U16,2292,Fieldbus TOT SetTot
U16,2293,Fieldbus TOT ModeTot
U16,2294,Fieldbus AO Function Block Index (0 – 3) (For 2700 PA range is 0-1) 
U16,2295,Fieldbus AO Target Mode
U16,2296,Fieldbus AO Actual Mode
U16,2297,Fieldbus AO Channel
U16,2298,Fieldbus AO PV Scale Units (valid units associated with channel selection)
U16,2299,Fieldbus AO Out Scale Units (valid units associated with channel selection)
U16,2300,"Power Outage Log Index (0-2, 0=last, 2=oldest)"
U32,2301,Power Off Time stamp
U32,2303,Power On Time stamp
U16,2305,Index of Well Name to Configure (1-48) (v5.x only)
A16,2306,Well name (16 characters maximum) (well test mode only)
U8,2314,LCD Test Picture Index (1~8)
F32,2327,"Gross Volume Inventory (Gen5 Total, NOC Gross Volume @ Ref)"
F32,2329,"NOC Mass Inventory (Gen5 Total, NOC Mass Total)"
F32,2331,"Net Oil Volume Inventory (Gen5 Total, NOC Oil Total @ Ref)"
F32,2333,"Net Water Volume Inventory (Gen5 Total, NOC Water Total @ Ref)"
F32,2335,"Uncorrected Oil Volume Inventory (Gen5 Total, NOC Oil Total @ Line)"
F32,2337,"Uncorrected Water Volume Inventory (Gen5 Total, NOC Water Total @ Line)"
F32,2339,"Back Flow Volume Inventory (uncorrected) (Gen5 Total, Backflow @ Line)"
F32,2341,"Uncorrected Gross Volume Inventory (Gen5 Total, NOC Gross Volume @ Line)"
F32,2343,Gas Volume Inventory (Gas Meter)
U8,2345," The value of global current register, which determines the current setting for outputs of MAX6967 (controller to control the sensitivity of LDO IR buttons and intensity of LEDs and backlight) (refer to global current register code)"
U8,2346,"The value of output current register, which determines half/full global current of separate output pins of MAX6967 (controller to control the sensitivity of LDO IR buttons and intensity of LEDs and backlight) (refer to output current register code)"
U8,2347,The duty cycle of Timer 2 assigned as PWM signal for LDO IR button 1 (determine the sensitivity of button 1) (0 ~ 99)
